PONo,PODate,PRNo,VendorCode,VendorName,Vertical,ItemCode,ItemDescription,OrderedQty,UOM,UnitPrice,TotalAmount,Currency,PromisedDeliveryDate,PaymentTerms,ApprovedBy,Status,DeptCode,ProjectCode
PO-40235,2026-01-30,PR-30276,V-1055,CERA Sanitaryware,Plumbing Materials,I-5052,PVC Elbow 4 inch,29,Nos,84.56,2452.2,INR,2026-02-19,Net 30,Januja Pradhan,Closed,DEP-02,PRJ-102
PO-40236,2026-08-08,PR-30277,V-1009,Orient Electric,Electrical,I-5009,Contactor 40A 3 Pole,25,Nos,1712.99,42824.86,INR,2026-08-12,Net 15,David Seshadri,Closed,DEP-06,PRJ-106
PO-40237,2026-07-07,PR-30279,V-1050,Astral Pipes,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,46,Nos,1955.43,89949.83,INR,2026-07-17,Net 60,Balveer Kota,Partially Delivered,DEP-01,PRJ-101
PO-40238,2026-06-18,PR-30280,V-1056,Jaquar Group,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),22,Pcs,1114.77,24524.93,INR,2026-06-28,Net 15,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40239,2025-12-15,PR-30281,V-1002,Finolex Cables,Electrical,I-5008,Earthing Strip GI 25x3mm,36,Mtr,84.83,3053.96,INR,2025-12-23,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40240,2026-04-05,PR-30282,V-1053,Prince Pipes,Plumbing Materials,I-5056,Concealed Cistern with Frame,6,Set,7968.83,47812.96,INR,2026-04-12,Net 15,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40241,2025-11-11,PR-30283,V-1026,Tata Steel,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,29,Ton,50610.89,1467715.74,INR,2025-11-29,Net 60,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40242,2026-01-09,PR-30285,V-1036,Emmvee Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,8,Set,813.75,6510.03,INR,2026-01-30,Net 45,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40243,2026-05-28,PR-30286,V-1050,Astral Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,24,Nos,318.77,7650.38,INR,2026-06-09,Net 60,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40244,2025-10-23,PR-30287,V-1046,Livguard Energy,Batteries,I-5049,Deep Cycle Battery 200Ah,21,Nos,19535.34,410242.21,INR,2025-11-05,Net 15,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40245,2025-11-04,PR-30288,V-1036,Emmvee Solar,Solar Panels,I-5034,String Inverter 50kW,53,Nos,348282.29,18458961.34,INR,2025-11-12,Net 45,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40246,2025-10-01,PR-30289,V-1052,Finolex Pipes,Plumbing Materials,I-5052,PVC Elbow 4 inch,16,Nos,76.1,1217.62,INR,2025-10-08,Net 45,David Seshadri,Cancelled,DEP-02,PRJ-102
PO-40247,2026-04-28,PR-30290,V-1043,Su-Kam Power Systems,Batteries,I-5042,Tubular Battery 150Ah C10,45,Nos,14629.58,658331.01,INR,2026-05-19,Net 15,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40248,2025-09-28,PR-30291,V-1039,Loom Solar,Solar Panels,I-5035,Module Mounting Structure (per kW),25,kW Set,4406.53,110163.17,INR,2025-10-10,Advance 20% + Net 30,David Seshadri,Closed,DEP-06,PRJ-106
PO-40249,2026-01-31,PR-30294,V-1048,Base Corporation,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,43,Nos,110157.55,4736774.69,INR,2026-02-09,Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40250,2026-04-12,PR-30295,V-1042,Luminous Power Technologies,Batteries,I-5046,Battery Rack 4-Tier MS,26,Nos,3191.59,82981.25,INR,2026-05-03,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40251,2025-11-04,PR-30296,V-1005,Crompton Greaves Consumer,Electrical,I-5010,MCCB 200A,15,Nos,7098.23,106473.43,INR,2025-11-24,Advance 20% + Net 30,Hemal Chad,Partially Delivered,DEP-01,PRJ-101
PO-40252,2025-11-03,PR-30297,V-1022,Ambuja Cements,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),30,Bag,370.55,11116.56,INR,2025-11-16,Net 15,Reva Viswanathan,Partially Delivered,DEP-05,PRJ-105
PO-40253,2026-06-05,PR-30298,V-1032,Adani Solar,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),22,Nos,2916.71,64167.51,INR,2026-06-08,Net 60,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40254,2025-09-20,PR-30299,V-1034,Goldi Solar,Solar Panels,I-5037,MC4 Connector Pair,38,Pair,82.58,3138.06,INR,2025-10-09,Advance 20% + Net 30,David Seshadri,Closed,DEP-03,PRJ-103
PO-40255,2025-10-22,PR-30301,V-1048,Base Corporation,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,6,Nos,14812.52,88875.12,INR,2025-10-25,Net 30,David Seshadri,Closed,DEP-03,PRJ-103
PO-40256,2026-06-25,PR-30302,V-1048,Base Corporation,Batteries,I-5042,Tubular Battery 150Ah C10,20,Nos,13751.4,275028.04,INR,2026-07-12,Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40257,2026-06-11,PR-30303,V-1039,Loom Solar,Solar Panels,I-5035,Module Mounting Structure (per kW),14,kW Set,5007.6,70106.46,INR,2026-06-19,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40258,2026-04-13,PR-30304,V-1027,JSW Steel,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,13,Ton,61340.02,797420.24,INR,2026-04-27,Advance 20% + Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40259,2025-10-24,PR-30305,V-1043,Su-Kam Power Systems,Batteries,I-5049,Deep Cycle Battery 200Ah,17,Nos,19331.24,328631.07,INR,2025-11-04,Net 15,Reva Viswanathan,Partially Delivered,DEP-01,PRJ-101
PO-40260,2025-12-02,PR-30306,V-1021,ACC Limited,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,33,Ton,50456.54,1665065.95,INR,2025-12-22,Advance 20% + Net 30,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40261,2025-12-21,PR-30307,V-1028,Birla Corporation,Road Construction Materials,I-5027,Ready Mix Concrete M25,25,Cum,5884.38,147109.44,INR,2025-12-29,Net 60,David Seshadri,Closed,DEP-04,PRJ-104
PO-40262,2026-02-17,PR-30309,V-1040,Exide Industries,Batteries,I-5048,Battery Monitoring System (BMS module),26,Nos,4156.88,108078.86,INR,2026-02-24,Net 45,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40263,2026-02-28,PR-30310,V-1024,JK Cement,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,37,Ton,62799.84,2323594.11,INR,2026-03-14,Advance 20% + Net 30,David Seshadri,Partially Delivered,DEP-06,PRJ-106
PO-40264,2026-03-25,PR-30311,V-1022,Ambuja Cements,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),8,Roll,4526.0,36208.03,INR,2026-04-01,Net 15,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40265,2026-05-21,PR-30314,V-1039,Loom Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,37,Set,801.78,29665.85,INR,2026-06-11,Advance 20% + Net 30,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40266,2026-05-08,PR-30315,V-1021,ACC Limited,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),13,Roll,4555.16,59217.06,INR,2026-05-13,Advance 20% + Net 30,David Seshadri,Closed,DEP-06,PRJ-106
PO-40267,2026-06-24,PR-30316,V-1020,UltraTech Cement,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,31,Ton,54633.82,1693648.34,INR,2026-07-06,Net 30,Januja Pradhan,Open,DEP-04,PRJ-104
PO-40268,2026-01-28,PR-30317,V-1049,Exicom Power Solutions,Batteries,I-5042,Tubular Battery 150Ah C10,21,Nos,13022.24,273467.12,INR,2026-02-08,Net 30,David Seshadri,Partially Delivered,DEP-03,PRJ-103
PO-40269,2026-05-08,PR-30318,V-1019,Sarvottam Plywood,Carpentry,I-5015,Hinges SS 4 inch,37,Pair,90.87,3362.15,INR,2026-05-26,Net 15,Reva Viswanathan,Open,DEP-02,PRJ-102
PO-40270,2026-07-30,PR-30319,V-1044,Okaya Power,Batteries,I-5042,Tubular Battery 150Ah C10,28,Nos,14110.86,395104.1,INR,2026-08-19,Net 15,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40271,2025-10-26,PR-30320,V-1055,CERA Sanitaryware,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),30,Pcs,996.14,29884.26,INR,2025-11-06,Net 30,Balveer Kota,Partially Delivered,DEP-03,PRJ-103
PO-40272,2026-05-30,PR-30321,V-1000,Havells India,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),19,Coil,1659.64,31533.07,INR,2026-06-04,Net 15,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40273,2026-08-04,PR-30322,V-1004,V-Guard Industries,Electrical,I-5010,MCCB 200A,24,Nos,8906.29,213750.95,INR,2026-08-09,Advance 20% + Net 30,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40274,2026-03-18,PR-30323,V-1011,Greenply Industries,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),26,Sheet,3172.37,82481.61,INR,2026-03-27,Net 60,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40275,2025-10-27,PR-30324,V-1057,Hindware Homes,Plumbing Materials,I-5054,Water Tank 1000L HDPE,30,Nos,5237.16,157114.91,INR,2025-10-30,Net 45,Reva Viswanathan,Partially Delivered,DEP-01,PRJ-101
PO-40276,2025-11-05,PR-30325,V-1021,ACC Limited,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,18,Ton,52200.31,939605.58,INR,2025-11-25,Advance 20% + Net 30,Balveer Kota,Partially Delivered,DEP-01,PRJ-101
PO-40277,2026-03-25,PR-30326,V-1033,Vikram Solar,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),18,Coil,3036.66,54659.8,INR,2026-03-29,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40278,2025-09-23,PR-30327,V-1058,Kajaria Ceramics,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),30,Pcs,875.21,26256.23,INR,2025-10-13,Net 60,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40279,2026-08-02,PR-30328,V-1001,Polycab India,Electrical,I-5011,Cable Gland Brass 25mm,20,Nos,65.25,1304.95,INR,2026-08-10,Net 30,David Seshadri,Partially Delivered,DEP-05,PRJ-105
PO-40280,2025-11-03,PR-30329,V-1039,Loom Solar,Solar Panels,I-5037,MC4 Connector Pair,6,Pair,88.79,532.76,INR,2025-11-16,Advance 20% + Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40281,2026-07-25,PR-30330,V-1000,Havells India,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),14,Coil,1715.02,24010.23,INR,2026-07-30,Net 15,Januja Pradhan,Open,DEP-05,PRJ-105
PO-40282,2026-01-07,PR-30331,V-1031,Waaree Energies,Solar Panels,I-5038,Combiner Box 6 in 1 out,13,Nos,6038.43,78499.56,INR,2026-01-21,Net 30,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40283,2026-05-21,PR-30332,V-1021,ACC Limited,Road Construction Materials,I-5030,Kerb Stone Precast,66,Nos,187.86,12398.44,INR,2026-06-08,Advance 20% + Net 30,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40284,2025-09-24,PR-30333,V-1031,Waaree Energies,Solar Panels,I-5039,Earthing Kit for Module Structure,15,Set,742.3,11134.48,INR,2025-10-04,Net 30,Januja Pradhan,Open,DEP-03,PRJ-103
PO-40285,2026-01-02,PR-30334,V-1029,L&T Construction Materials,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,7,Ton,53713.35,375993.47,INR,2026-01-06,Net 30,Hemal Chad,Partially Delivered,DEP-01,PRJ-101
PO-40286,2025-12-16,PR-30335,V-1027,JSW Steel,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),32,Drum,8494.17,271813.55,INR,2026-01-01,Advance 20% + Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40287,2025-10-17,PR-30336,V-1057,Hindware Homes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,25,Nos,267.42,6685.61,INR,2025-10-20,Net 45,Hemal Chad,Open,DEP-05,PRJ-105
PO-40288,2026-05-03,PR-30337,V-1051,Supreme Industries,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),21,Pcs,1139.72,23934.12,INR,2026-05-21,Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40289,2026-08-04,PR-30338,V-1029,L&T Construction Materials,Road Construction Materials,I-5025,River Sand (fine aggregate),9,Ton,1411.58,12704.26,INR,2026-08-07,Net 30,Reva Viswanathan,Cancelled,DEP-02,PRJ-102
PO-40290,2025-12-10,PR-30339,V-1055,CERA Sanitaryware,Plumbing Materials,I-5056,Concealed Cistern with Frame,8,Set,6957.03,55656.22,INR,2025-12-14,Net 30,Balveer Kota,Closed,DEP-02,PRJ-102
PO-40291,2026-05-25,PR-30340,V-1040,Exide Industries,Batteries,I-5042,Tubular Battery 150Ah C10,10,Nos,13963.54,139635.42,INR,2026-06-08,Net 45,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40292,2025-12-20,PR-30341,V-1036,Emmvee Solar,Solar Panels,I-5041,Solar Cable Gland Set,19,Set,132.77,2522.7,INR,2025-12-24,Net 45,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40293,2026-07-16,PR-30342,V-1057,Hindware Homes,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,14,Nos,1855.35,25974.9,INR,2026-07-21,Net 45,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40294,2026-05-30,PR-30343,V-1007,Schneider Electric India,Electrical,I-5003,Distribution Board 8-Way,20,Nos,1379.99,27599.89,INR,2026-06-15,Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40295,2026-05-11,PR-30344,V-1039,Loom Solar,Solar Panels,I-5037,MC4 Connector Pair,22,Pair,93.14,2049.14,INR,2026-05-23,Advance 20% + Net 30,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40296,2026-07-16,PR-30345,V-1022,Ambuja Cements,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,27,Ton,863.71,23320.29,INR,2026-07-26,Net 15,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40297,2025-11-16,PR-30346,V-1026,Tata Steel,Road Construction Materials,I-5027,Ready Mix Concrete M25,9,Cum,5936.54,53428.87,INR,2025-11-23,Net 60,Balveer Kota,Partially Delivered,DEP-06,PRJ-106
PO-40298,2025-11-16,PR-30347,V-1050,Astral Pipes,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,14,Nos,56.86,795.97,INR,2025-12-06,Net 60,David Seshadri,Closed,DEP-03,PRJ-103
PO-40299,2025-12-27,PR-30348,V-1011,Greenply Industries,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),11,Roll,601.67,6618.4,INR,2026-01-11,Net 60,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40300,2026-03-21,PR-30349,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5047,Battery Interconnect Cable Set,13,Set,648.63,8432.14,INR,2026-04-07,Net 30,Reva Viswanathan,Open,DEP-06,PRJ-106
PO-40301,2025-11-15,PR-30350,V-1048,Base Corporation,Batteries,I-5048,Battery Monitoring System (BMS module),19,Nos,4088.82,77687.54,INR,2025-11-20,Net 30,Januja Pradhan,Partially Delivered,DEP-04,PRJ-104
PO-40302,2026-05-12,PR-30351,V-1044,Okaya Power,Batteries,I-5046,Battery Rack 4-Tier MS,47,Nos,3132.23,147215.01,INR,2026-05-18,Net 15,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40303,2026-07-07,PR-30352,V-1027,JSW Steel,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,50,Ton,61237.82,3061891.03,INR,2026-07-21,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40304,2025-10-01,PR-30353,V-1004,V-Guard Industries,Electrical,I-5002,MCB 32A Single Pole,24,Nos,115.7,2776.79,INR,2025-10-06,Advance 20% + Net 30,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40305,2026-03-06,PR-30354,V-1044,Okaya Power,Batteries,I-5046,Battery Rack 4-Tier MS,18,Nos,3063.14,55136.47,INR,2026-03-24,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40306,2026-03-08,PR-30356,V-1024,JK Cement,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),18,Drum,8765.91,157786.34,INR,2026-03-14,Advance 20% + Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40307,2026-04-14,PR-30357,V-1007,Schneider Electric India,Electrical,I-5007,Junction Box IP65,37,Nos,215.27,7964.97,INR,2026-04-25,Net 30,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40308,2025-09-20,PR-30358,V-1012,Kitply Industries,Carpentry,I-5017,Door Lock Mortise Set,25,Set,788.67,19716.68,INR,2025-09-30,Net 15,David Seshadri,Closed,DEP-02,PRJ-102
PO-40309,2025-09-09,PR-30359,V-1009,Orient Electric,Electrical,I-5008,Earthing Strip GI 25x3mm,18,Mtr,78.28,1409.08,INR,2025-09-26,Net 15,David Seshadri,Closed,DEP-03,PRJ-103
PO-40310,2025-11-06,PR-30360,V-1048,Base Corporation,Batteries,I-5047,Battery Interconnect Cable Set,22,Set,609.49,13408.76,INR,2025-11-11,Net 30,David Seshadri,Closed,DEP-01,PRJ-101
PO-40311,2026-05-16,PR-30362,V-1022,Ambuja Cements,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),23,Bag,346.03,7958.64,INR,2026-05-31,Net 15,David Seshadri,Closed,DEP-06,PRJ-106
PO-40312,2025-11-08,PR-30363,V-1049,Exicom Power Solutions,Batteries,I-5048,Battery Monitoring System (BMS module),15,Nos,3970.76,59561.39,INR,2025-11-23,Net 30,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40313,2026-07-20,PR-30364,V-1020,UltraTech Cement,Road Construction Materials,I-5025,River Sand (fine aggregate),23,Ton,1406.84,32357.32,INR,2026-08-04,Net 30,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40314,2026-02-01,PR-30365,V-1048,Base Corporation,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,14,Nos,9600.14,134402.0,INR,2026-02-04,Net 30,David Seshadri,Cancelled,DEP-04,PRJ-104
PO-40315,2026-03-17,PR-30366,V-1058,Kajaria Ceramics,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),26,Pcs,334.95,8708.67,INR,2026-03-25,Net 60,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40316,2026-05-05,PR-30367,V-1036,Emmvee Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,12,Set,837.67,10052.01,INR,2026-05-19,Net 45,Balveer Kota,Open,DEP-06,PRJ-106
PO-40317,2026-03-15,PR-30368,V-1033,Vikram Solar,Solar Panels,I-5037,MC4 Connector Pair,28,Pair,92.96,2602.9,INR,2026-03-27,Advance 20% + Net 30,David Seshadri,Closed,DEP-06,PRJ-106
PO-40318,2026-05-23,PR-30369,V-1056,Jaquar Group,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,33,Nos,68.96,2275.57,INR,2026-06-07,Net 15,David Seshadri,Closed,DEP-06,PRJ-106
PO-40319,2026-01-28,PR-30371,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5045,VRLA SMF Battery 12V 100Ah,28,Nos,9271.88,259612.7,INR,2026-02-03,Net 30,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40320,2026-04-13,PR-30372,V-1047,Panasonic Energy India,Batteries,I-5046,Battery Rack 4-Tier MS,11,Nos,3314.0,36453.99,INR,2026-04-21,Net 15,Januja Pradhan,Partially Delivered,DEP-06,PRJ-106
PO-40321,2025-11-19,PR-30374,V-1011,Greenply Industries,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),38,Sheet,3669.15,139427.75,INR,2025-12-05,Net 60,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40322,2026-04-27,PR-30375,V-1004,V-Guard Industries,Electrical,I-5004,LED Flood Light 100W,17,Nos,1794.93,30513.78,INR,2026-04-30,Advance 20% + Net 30,Balveer Kota,Closed,DEP-02,PRJ-102
PO-40323,2025-10-17,PR-30376,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5042,Tubular Battery 150Ah C10,9,Nos,13810.76,124296.87,INR,2025-10-24,Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40324,2026-07-10,PR-30377,V-1053,Prince Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,29,Nos,346.45,10046.92,INR,2026-07-19,Net 15,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40325,2026-02-13,PR-30378,V-1022,Ambuja Cements,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,4,Ton,60619.57,242478.3,INR,2026-03-03,Net 15,Balveer Kota,Open,DEP-05,PRJ-105
PO-40326,2026-01-11,PR-30379,V-1031,Waaree Energies,Solar Panels,I-5035,Module Mounting Structure (per kW),28,kW Set,4708.41,131835.56,INR,2026-01-21,Net 30,Reva Viswanathan,Partially Delivered,DEP-01,PRJ-101
PO-40327,2026-07-31,PR-30380,V-1056,Jaquar Group,Plumbing Materials,I-5055,Sanitaryware Wash Basin,47,Nos,2557.73,120213.43,INR,2026-08-16,Net 15,David Seshadri,Partially Delivered,DEP-02,PRJ-102
PO-40328,2025-10-03,PR-30381,V-1026,Tata Steel,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),16,Bag,327.89,5246.18,INR,2025-10-15,Net 60,David Seshadri,Closed,DEP-06,PRJ-106
PO-40329,2026-02-13,PR-30382,V-1045,HBL Power Systems,Batteries,I-5048,Battery Monitoring System (BMS module),16,Nos,4047.63,64762.03,INR,2026-02-22,Net 45,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40330,2026-01-17,PR-30383,V-1052,Finolex Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,35,Nos,289.96,10148.75,INR,2026-01-31,Net 45,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40331,2025-11-09,PR-30385,V-1043,Su-Kam Power Systems,Batteries,I-5048,Battery Monitoring System (BMS module),19,Nos,3949.92,75048.41,INR,2025-11-17,Net 15,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40332,2025-09-10,PR-30386,V-1036,Emmvee Solar,Solar Panels,I-5033,Solar Module 550Wp Bifacial,15,Nos,12748.37,191225.49,INR,2025-09-21,Net 45,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40333,2026-01-14,PR-30388,V-1008,KEI Industries,Electrical,I-5002,MCB 32A Single Pole,8,Nos,126.92,1015.4,INR,2026-01-21,Net 30,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40334,2026-05-27,PR-30389,V-1032,Adani Solar,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),19,Coil,3271.24,62153.65,INR,2026-06-13,Net 60,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40335,2025-09-25,PR-30390,V-1052,Finolex Pipes,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,20,Nos,1485.17,29703.42,INR,2025-10-09,Net 45,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40336,2026-06-01,PR-30391,V-1055,CERA Sanitaryware,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),11,Pcs,1202.57,13228.32,INR,2026-06-13,Net 30,David Seshadri,Closed,DEP-05,PRJ-105
PO-40337,2026-08-01,PR-30394,V-1006,Legrand India,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,13,Mtr,506.94,6590.19,INR,2026-08-16,Net 45,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40338,2025-11-04,PR-30395,V-1019,Sarvottam Plywood,Carpentry,I-5014,MDF Board 12mm (8x4 ft),16,Sheet,1541.3,24660.74,INR,2025-11-18,Net 15,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40339,2026-07-17,PR-30396,V-1047,Panasonic Energy India,Batteries,I-5047,Battery Interconnect Cable Set,32,Set,627.49,20079.72,INR,2026-07-24,Net 15,Januja Pradhan,Partially Delivered,DEP-01,PRJ-101
PO-40340,2026-02-04,PR-30397,V-1046,Livguard Energy,Batteries,I-5048,Battery Monitoring System (BMS module),24,Nos,3730.54,89533.08,INR,2026-02-10,Net 15,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40341,2025-12-06,PR-30398,V-1037,RenewSys India,Solar Panels,I-5034,String Inverter 50kW,60,Nos,343274.7,20596482.17,INR,2025-12-17,Net 45,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40342,2025-11-03,PR-30399,V-1009,Orient Electric,Electrical,I-5006,Cable Tray 300mm (2m length),16,Nos,902.44,14439.07,INR,2025-11-15,Net 15,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40343,2026-04-15,PR-30401,V-1032,Adani Solar,Solar Panels,I-5035,Module Mounting Structure (per kW),14,kW Set,4838.01,67732.09,INR,2026-05-01,Net 60,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40344,2026-07-01,PR-30402,V-1000,Havells India,Electrical,I-5007,Junction Box IP65,32,Nos,217.32,6954.13,INR,2026-07-17,Net 15,Reva Viswanathan,Cancelled,DEP-04,PRJ-104
PO-40345,2026-02-02,PR-30403,V-1037,RenewSys India,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),30,Nos,2968.44,89053.21,INR,2026-02-06,Net 45,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40346,2026-04-20,PR-30404,V-1037,RenewSys India,Solar Panels,I-5037,MC4 Connector Pair,18,Pair,91.9,1654.26,INR,2026-05-09,Net 45,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40347,2026-05-01,PR-30405,V-1042,Luminous Power Technologies,Batteries,I-5047,Battery Interconnect Cable Set,14,Set,643.54,9009.52,INR,2026-05-10,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40348,2026-03-07,PR-30406,V-1021,ACC Limited,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),35,Drum,8587.4,300559.04,INR,2026-03-23,Advance 20% + Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40349,2026-05-21,PR-30409,V-1044,Okaya Power,Batteries,I-5042,Tubular Battery 150Ah C10,39,Nos,13363.9,521191.91,INR,2026-06-09,Net 15,David Seshadri,Closed,DEP-01,PRJ-101
PO-40350,2026-01-07,PR-30410,V-1046,Livguard Energy,Batteries,I-5042,Tubular Battery 150Ah C10,61,Nos,13247.28,808084.04,INR,2026-01-17,Net 15,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40351,2026-05-25,PR-30411,V-1026,Tata Steel,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),17,Bag,363.79,6184.46,INR,2026-06-01,Net 60,David Seshadri,Partially Delivered,DEP-01,PRJ-101
