PRNo,PRDate,DeptCode,DeptName,ProjectCode,ProjectName,ItemCode,ItemDescription,Vertical,RequestedQty,UOM,RequiredByDate,RequestedBy,Priority,Status
PR-30472,2026-04-21,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,10,Drum,2026-05-07,Baljiwan Bhandari,Medium,Converted to PO
PR-30473,2025-10-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,28,Roll,2025-10-27,Aahana Hora,Medium,Pending Approval
PR-30474,2026-01-09,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5006,Cable Tray 300mm (2m length),Electrical,21,Nos,2026-02-08,Yashica Rajagopalan,Medium,Converted to PO
PR-30475,2026-07-07,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,9,Coil,2026-07-28,Michael Borra,Medium,Rejected
PR-30476,2025-09-07,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5034,String Inverter 50kW,Solar Panels,18,Nos,2025-09-17,Bhavini Bose,Medium,Converted to PO
PR-30477,2025-10-16,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5038,Combiner Box 6 in 1 out,Solar Panels,12,Nos,2025-10-26,Benjamin Sengupta,Medium,Converted to PO
PR-30478,2025-11-27,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5018,Wood Screws 2 inch (box of 100),Carpentry,43,Box,2025-12-09,Yashica Rajagopalan,High,Converted to PO
PR-30479,2025-11-25,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5010,MCCB 200A,Electrical,19,Nos,2025-12-04,Riya Mitter,High,Converted to PO
PR-30480,2026-07-06,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5048,Battery Monitoring System (BMS module),Batteries,21,Nos,2026-07-29,Benjamin Sengupta,Medium,Cancelled
PR-30481,2026-07-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5027,Ready Mix Concrete M25,Road Construction Materials,29,Cum,2026-07-27,Bhavini Bose,Low,Converted to PO
PR-30482,2026-05-30,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,16,Coil,2026-06-14,Benjamin Sengupta,Low,Rejected
PR-30483,2026-05-22,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,13,Ton,2026-06-11,Warinder Chauhan,Low,Converted to PO
PR-30484,2026-03-17,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,48,Pcs,2026-04-02,Yashica Rajagopalan,High,Converted to PO
PR-30485,2025-10-30,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5007,Junction Box IP65,Electrical,41,Nos,2025-11-21,Wakeeta Shetty,High,Converted to PO
PR-30486,2026-03-16,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5055,Sanitaryware Wash Basin,Plumbing Materials,11,Nos,2026-03-31,Ekantika Mutti,Medium,Converted to PO
PR-30487,2026-08-01,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5048,Battery Monitoring System (BMS module),Batteries,9,Nos,2026-08-28,Ekanta Soni,Medium,Converted to PO
PR-30488,2026-03-14,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5027,Ready Mix Concrete M25,Road Construction Materials,18,Cum,2026-04-08,Ekantika Mutti,High,Converted to PO
PR-30489,2025-12-22,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,44,Drum,2026-01-13,Michael Borra,Medium,Converted to PO
PR-30490,2026-02-18,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,13,Pcs,2026-03-01,Wakeeta Shetty,Low,Converted to PO
PR-30491,2026-05-01,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,8,Ton,2026-05-19,Riya Mitter,High,Converted to PO
PR-30492,2026-04-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5002,MCB 32A Single Pole,Electrical,30,Nos,2026-05-14,Michael Borra,High,Converted to PO
PR-30493,2025-10-31,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,31,Mtr,2025-11-23,Baljiwan Bhandari,Medium,Converted to PO
PR-30494,2026-07-30,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5039,Earthing Kit for Module Structure,Solar Panels,39,Set,2026-08-18,Bhavini Bose,Medium,Converted to PO
PR-30495,2026-07-28,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,20,Sheet,2026-08-26,Baljiwan Bhandari,High,Converted to PO
PR-30496,2026-04-17,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5008,Earthing Strip GI 25x3mm,Electrical,32,Mtr,2026-05-04,Michael Borra,Medium,Converted to PO
PR-30497,2026-01-29,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5008,Earthing Strip GI 25x3mm,Electrical,25,Mtr,2026-02-26,Michael Borra,Medium,Converted to PO
PR-30498,2026-06-10,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,15,Nos,2026-06-23,Ekantika Mutti,High,Converted to PO
PR-30499,2026-01-16,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5011,Cable Gland Brass 25mm,Electrical,13,Nos,2026-02-12,Wakeeta Shetty,Medium,Converted to PO
PR-30500,2026-06-08,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,21,Coil,2026-06-28,Bhavini Bose,High,Converted to PO
PR-30501,2026-05-09,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,33,Nos,2026-05-19,Yashica Rajagopalan,Medium,Converted to PO
PR-30502,2026-05-03,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5038,Combiner Box 6 in 1 out,Solar Panels,52,Nos,2026-05-28,Warinder Chauhan,Medium,Converted to PO
PR-30503,2026-04-13,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5034,String Inverter 50kW,Solar Panels,22,Nos,2026-05-01,Dayita Shenoy,Medium,Converted to PO
PR-30504,2026-05-04,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5034,String Inverter 50kW,Solar Panels,24,Nos,2026-05-26,Bhavini Bose,Low,Converted to PO
PR-30505,2025-10-09,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5052,PVC Elbow 4 inch,Plumbing Materials,31,Nos,2025-10-27,Dayita Shenoy,Medium,Converted to PO
PR-30506,2025-10-31,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,79,Roll,2025-11-16,Ekantika Mutti,Medium,Converted to PO
PR-30507,2025-09-03,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,35,Sheet,2025-09-21,Michael Borra,Medium,Pending Approval
PR-30508,2025-12-11,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5007,Junction Box IP65,Electrical,24,Nos,2025-12-20,Michael Borra,Medium,Converted to PO
PR-30509,2026-04-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5011,Cable Gland Brass 25mm,Electrical,10,Nos,2026-04-18,Ekanta Soni,Medium,Converted to PO
PR-30510,2026-04-04,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,18,Pcs,2026-04-26,Benjamin Sengupta,Medium,Converted to PO
PR-30511,2026-07-03,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5048,Battery Monitoring System (BMS module),Batteries,23,Nos,2026-08-02,Daksh Pandey,Medium,Converted to PO
PR-30512,2025-12-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5038,Combiner Box 6 in 1 out,Solar Panels,52,Nos,2026-01-02,Benjamin Sengupta,High,Converted to PO
PR-30513,2025-09-27,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5033,Solar Module 550Wp Bifacial,Solar Panels,16,Nos,2025-10-16,Ekantika Mutti,Medium,Converted to PO
PR-30514,2025-09-25,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5027,Ready Mix Concrete M25,Road Construction Materials,16,Cum,2025-10-07,Warinder Chauhan,Medium,Converted to PO
PR-30515,2026-02-17,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,4,Nos,2026-03-07,Ria Bir,Medium,Converted to PO
PR-30516,2026-04-17,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,22,Nos,2026-04-27,Dayita Shenoy,Medium,Converted to PO
PR-30517,2026-04-12,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,38,Ton,2026-04-21,Dayita Shenoy,Low,Converted to PO
PR-30518,2026-05-21,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5030,Kerb Stone Precast,Road Construction Materials,22,Nos,2026-05-30,Benjamin Sengupta,Medium,Converted to PO
PR-30519,2026-02-03,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5046,Battery Rack 4-Tier MS,Batteries,11,Nos,2026-02-17,Ekantika Mutti,Medium,Converted to PO
PR-30520,2026-06-01,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,21,Nos,2026-06-11,Ria Bir,Medium,Converted to PO
PR-30521,2026-06-03,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,7,Mtr,2026-07-01,Benjamin Sengupta,Low,Cancelled
PR-30522,2026-03-15,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5011,Cable Gland Brass 25mm,Electrical,5,Nos,2026-04-11,Bhavini Bose,Medium,Converted to PO
PR-30523,2025-10-18,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,35,Ton,2025-11-09,Michael Borra,Low,Converted to PO
PR-30524,2025-10-22,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5018,Wood Screws 2 inch (box of 100),Carpentry,23,Box,2025-11-21,Yashica Rajagopalan,Medium,Converted to PO
PR-30525,2025-10-25,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,13,Nos,2025-11-18,Ria Bir,Low,Converted to PO
PR-30526,2026-03-17,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5006,Cable Tray 300mm (2m length),Electrical,10,Nos,2026-03-28,Ekantika Mutti,High,Converted to PO
PR-30527,2026-03-02,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5054,Water Tank 1000L HDPE,Plumbing Materials,28,Nos,2026-03-11,Aahana Hora,Medium,Converted to PO
PR-30528,2026-01-17,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,45,Ton,2026-02-08,Ekantika Mutti,Low,Converted to PO
PR-30529,2026-02-13,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,26,Sheet,2026-02-24,Riya Mitter,Medium,Converted to PO
PR-30530,2026-04-04,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,22,Roll,2026-04-27,Yashica Rajagopalan,Low,Converted to PO
PR-30531,2026-06-10,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5014,MDF Board 12mm (8x4 ft),Carpentry,78,Sheet,2026-06-30,Ekanta Soni,High,Converted to PO
PR-30532,2025-11-12,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5005,Modular Switch 6A,Electrical,10,Nos,2025-11-21,Warinder Chauhan,Medium,Converted to PO
PR-30533,2025-09-17,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5010,MCCB 200A,Electrical,28,Nos,2025-10-13,Dayita Shenoy,High,Converted to PO
PR-30534,2026-04-28,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5033,Solar Module 550Wp Bifacial,Solar Panels,13,Nos,2026-05-20,Bhavini Bose,Medium,Converted to PO
PR-30535,2025-09-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5009,Contactor 40A 3 Pole,Electrical,5,Nos,2025-09-22,Wakeeta Shetty,Medium,Converted to PO
PR-30536,2026-03-20,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5037,MC4 Connector Pair,Solar Panels,6,Pair,2026-04-19,Michael Borra,Medium,Converted to PO
PR-30537,2026-07-18,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5033,Solar Module 550Wp Bifacial,Solar Panels,18,Nos,2026-07-27,Wakeeta Shetty,Low,Rejected
PR-30538,2026-05-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5034,String Inverter 50kW,Solar Panels,9,Nos,2026-06-07,Baljiwan Bhandari,Medium,Cancelled
PR-30539,2026-02-21,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,11,Ton,2026-03-09,Ekanta Soni,Low,Converted to PO
PR-30540,2026-07-19,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,16,Nos,2026-08-10,Warinder Chauhan,High,Converted to PO
PR-30541,2026-01-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5039,Earthing Kit for Module Structure,Solar Panels,19,Set,2026-02-02,Benjamin Sengupta,Low,Cancelled
PR-30542,2026-06-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,13,Pcs,2026-07-11,Ekanta Soni,Medium,Converted to PO
PR-30543,2025-09-30,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5010,MCCB 200A,Electrical,56,Nos,2025-10-30,Yashica Rajagopalan,Low,Converted to PO
PR-30544,2025-10-26,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5039,Earthing Kit for Module Structure,Solar Panels,21,Set,2025-11-04,Aahana Hora,Low,Converted to PO
PR-30545,2025-11-14,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5039,Earthing Kit for Module Structure,Solar Panels,9,Set,2025-12-11,Baljiwan Bhandari,High,Converted to PO
PR-30546,2026-04-05,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,16,Sheet,2026-04-20,Michael Borra,High,Converted to PO
PR-30547,2026-04-03,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5005,Modular Switch 6A,Electrical,20,Nos,2026-04-25,Yashica Rajagopalan,Medium,Converted to PO
PR-30548,2025-09-08,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5047,Battery Interconnect Cable Set,Batteries,26,Set,2025-09-19,Michael Borra,Medium,Pending Approval
PR-30549,2026-03-28,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5010,MCCB 200A,Electrical,6,Nos,2026-04-12,Warinder Chauhan,Low,Converted to PO
PR-30550,2025-09-08,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,23,Nos,2025-09-26,Warinder Chauhan,Medium,Converted to PO
PR-30551,2026-04-23,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5002,MCB 32A Single Pole,Electrical,24,Nos,2026-05-13,Dayita Shenoy,Medium,Converted to PO
PR-30552,2026-07-17,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5011,Cable Gland Brass 25mm,Electrical,12,Nos,2026-08-10,Daksh Pandey,Medium,Converted to PO
PR-30553,2026-03-31,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,8,Nos,2026-04-27,Yashica Rajagopalan,Medium,Converted to PO
PR-30554,2026-06-20,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,24,Ton,2026-07-10,Riya Mitter,High,Converted to PO
PR-30555,2026-07-21,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,25,Nos,2026-08-15,Ekanta Soni,Medium,Converted to PO
PR-30556,2025-11-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,28,Nos,2025-11-27,Benjamin Sengupta,Medium,Converted to PO
PR-30557,2026-07-24,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,6,Pcs,2026-08-18,Aahana Hora,Medium,Pending Approval
PR-30558,2026-01-23,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5002,MCB 32A Single Pole,Electrical,24,Nos,2026-02-07,Aahana Hora,High,Pending Approval
PR-30559,2026-03-20,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,24,Nos,2026-03-30,Warinder Chauhan,Medium,Converted to PO
PR-30560,2026-05-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5055,Sanitaryware Wash Basin,Plumbing Materials,16,Nos,2026-06-01,Warinder Chauhan,High,Converted to PO
PR-30561,2026-01-16,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5014,MDF Board 12mm (8x4 ft),Carpentry,19,Sheet,2026-01-31,Aahana Hora,Medium,Converted to PO
PR-30562,2026-02-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5009,Contactor 40A 3 Pole,Electrical,20,Nos,2026-02-19,Yashica Rajagopalan,Medium,Converted to PO
PR-30563,2026-06-28,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5054,Water Tank 1000L HDPE,Plumbing Materials,30,Nos,2026-07-18,Ekanta Soni,Low,Converted to PO
PR-30564,2025-09-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5011,Cable Gland Brass 25mm,Electrical,94,Nos,2025-10-05,Daksh Pandey,Medium,Converted to PO
PR-30565,2026-02-10,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,27,Ton,2026-02-27,Warinder Chauhan,Low,Converted to PO
PR-30566,2026-01-24,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,19,Nos,2026-02-04,Riya Mitter,High,Converted to PO
PR-30567,2026-07-11,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5049,Deep Cycle Battery 200Ah,Batteries,19,Nos,2026-07-19,Yashica Rajagopalan,Low,Converted to PO
PR-30568,2026-03-08,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5011,Cable Gland Brass 25mm,Electrical,23,Nos,2026-04-01,Yashica Rajagopalan,Low,Cancelled
PR-30569,2025-10-27,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,58,Pcs,2025-11-04,Aahana Hora,Medium,Rejected
PR-30570,2026-01-17,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5038,Combiner Box 6 in 1 out,Solar Panels,18,Nos,2026-02-15,Michael Borra,Medium,Converted to PO
PR-30571,2026-01-14,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,40,Ton,2026-01-30,Ria Bir,Medium,Converted to PO
PR-30572,2026-04-28,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5003,Distribution Board 8-Way,Electrical,15,Nos,2026-05-17,Aahana Hora,Medium,Converted to PO
PR-30573,2025-12-13,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5058,Submersible Pump 1HP,Plumbing Materials,28,Nos,2026-01-01,Ekantika Mutti,Medium,Converted to PO
PR-30574,2025-10-31,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,32,Drum,2025-11-24,Riya Mitter,High,Converted to PO
PR-30575,2026-05-30,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5004,LED Flood Light 100W,Electrical,12,Nos,2026-06-25,Riya Mitter,High,Converted to PO
PR-30576,2026-01-16,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5025,River Sand (fine aggregate),Road Construction Materials,13,Ton,2026-02-07,Benjamin Sengupta,High,Converted to PO
PR-30577,2025-12-05,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5034,String Inverter 50kW,Solar Panels,22,Nos,2025-12-22,Michael Borra,Low,Pending Approval
PR-30578,2025-09-11,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5027,Ready Mix Concrete M25,Road Construction Materials,19,Cum,2025-09-23,Aahana Hora,High,Cancelled
PR-30579,2026-06-26,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5039,Earthing Kit for Module Structure,Solar Panels,21,Set,2026-07-03,Wakeeta Shetty,Medium,Converted to PO
PR-30580,2026-08-06,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5046,Battery Rack 4-Tier MS,Batteries,12,Nos,2026-08-28,Daksh Pandey,High,Converted to PO
PR-30581,2026-04-09,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5009,Contactor 40A 3 Pole,Electrical,19,Nos,2026-04-27,Aahana Hora,High,Converted to PO
PR-30582,2026-02-17,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5017,Door Lock Mortise Set,Carpentry,13,Set,2026-03-08,Ekantika Mutti,Medium,Converted to PO
PR-30583,2025-11-16,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5010,MCCB 200A,Electrical,19,Nos,2025-12-09,Baljiwan Bhandari,Medium,Rejected
PR-30584,2025-10-04,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,31,Drum,2025-10-20,Warinder Chauhan,High,Converted to PO
PR-30585,2026-01-17,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,22,Coil,2026-01-28,Wakeeta Shetty,Medium,Cancelled
PR-30586,2026-05-01,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,21,Sheet,2026-05-19,Bhavini Bose,Medium,Converted to PO
PR-30587,2026-06-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5018,Wood Screws 2 inch (box of 100),Carpentry,21,Box,2026-06-24,Aahana Hora,Medium,Converted to PO
PR-30588,2026-04-25,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,41,Ton,2026-05-02,Warinder Chauhan,Low,Pending Approval
PR-30589,2026-07-12,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5002,MCB 32A Single Pole,Electrical,9,Nos,2026-07-28,Baljiwan Bhandari,Medium,Converted to PO
PR-30590,2026-07-30,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5004,LED Flood Light 100W,Electrical,28,Nos,2026-08-09,Aahana Hora,Low,Converted to PO
PR-30591,2026-07-25,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5010,MCCB 200A,Electrical,13,Nos,2026-08-05,Ekantika Mutti,Medium,Converted to PO
PR-30592,2025-11-02,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,16,Bag,2025-11-18,Michael Borra,Low,Converted to PO
