InvoiceNo,InvoiceDate,PONo,GRNNo,VendorCode,VendorName,Vertical,InvoiceAmount,TaxAmount,TotalAmount,PaymentDueDate,PaymentStatus,PaymentDate,DeptCode,ProjectCode
INV-60302,2026-06-11,PO-40318,GRN-50323,V-1056,Jaquar Group,Plumbing Materials,2275.57,409.6,2685.17,2026-06-26,Paid,2026-06-29,DEP-06,PRJ-106
INV-60303,2026-02-08,PO-40319,GRN-50324,V-1041,Amara Raja Batteries (Amaron),Batteries,259612.7,46730.29,306342.99,2026-03-10,Paid,2026-03-11,DEP-01,PRJ-101
INV-60304,2025-12-09,PO-40321,GRN-50326,V-1011,Greenply Industries,Carpentry,139427.75,25097.0,164524.75,2026-02-07,Paid,2026-02-24,DEP-05,PRJ-105
INV-60305,2025-10-28,PO-40323,GRN-50328,V-1041,Amara Raja Batteries (Amaron),Batteries,124296.87,22373.44,146670.31,2025-11-27,Overdue,,DEP-04,PRJ-104
INV-60306,2026-07-24,PO-40324,GRN-50329,V-1053,Prince Pipes,Plumbing Materials,10046.92,1808.45,11855.37,2026-08-08,Paid,2026-08-11,DEP-04,PRJ-104
INV-60307,2026-03-10,PO-40325,GRN-50330,V-1022,Ambuja Cements,Road Construction Materials,242478.3,43646.09,286124.39,2026-03-25,Paid,2026-03-24,DEP-05,PRJ-105
INV-60308,2026-01-19,PO-40326,GRN-50331,V-1031,Waaree Energies,Solar Panels,127127.14,22882.89,150010.03,2026-02-18,Paid,2026-02-19,DEP-01,PRJ-101
INV-60309,2026-08-21,PO-40327,GRN-50332,V-1056,Jaquar Group,Plumbing Materials,120213.43,21638.42,141851.85,2026-09-05,Paid,2026-09-05,DEP-02,PRJ-102
INV-60310,2026-02-24,PO-40329,GRN-50334,V-1045,HBL Power Systems,Batteries,64762.03,11657.17,76419.2,2026-04-10,Pending,,DEP-06,PRJ-106
INV-60311,2026-01-26,PO-40330,GRN-50335,V-1052,Finolex Pipes,Plumbing Materials,10148.75,1826.78,11975.53,2026-03-12,Paid,2026-03-20,DEP-01,PRJ-101
INV-60312,2025-11-21,PO-40331,GRN-50336,V-1043,Su-Kam Power Systems,Batteries,75048.41,13508.71,88557.12,2025-12-06,Paid,2025-12-13,DEP-03,PRJ-103
INV-60313,2025-09-15,PO-40332,GRN-50337,V-1036,Emmvee Solar,Solar Panels,191225.49,34420.59,225646.08,2025-10-30,Pending,,DEP-06,PRJ-106
INV-60314,2026-01-26,PO-40333,GRN-50338,V-1008,KEI Industries,Electrical,1015.4,182.77,1198.17,2026-02-25,Paid,2026-02-23,DEP-05,PRJ-105
INV-60315,2026-06-24,PO-40334,GRN-50339,V-1032,Adani Solar,Solar Panels,62153.65,11187.66,73341.31,2026-08-23,Paid,2026-08-25,DEP-03,PRJ-103
INV-60316,2025-10-11,PO-40335,GRN-50340,V-1052,Finolex Pipes,Plumbing Materials,29703.42,5346.62,35050.04,2025-11-25,Pending,,DEP-01,PRJ-101
INV-60317,2026-06-11,PO-40336,GRN-50341,V-1055,CERA Sanitaryware,Plumbing Materials,13228.32,2381.1,15609.42,2026-07-11,Paid,2026-07-05,DEP-05,PRJ-105
INV-60318,2026-08-22,PO-40337,GRN-50342,V-1006,Legrand India,Electrical,6083.26,1094.99,7178.25,2026-10-06,Paid,2026-09-30,DEP-05,PRJ-105
INV-60319,2025-12-02,PO-40338,GRN-50343,V-1019,Sarvottam Plywood,Carpentry,24660.74,4438.93,29099.67,2025-12-17,Paid,2025-12-17,DEP-04,PRJ-104
INV-60320,2026-07-27,PO-40339,GRN-50344,V-1047,Panasonic Energy India,Batteries,20079.72,3614.35,23694.07,2026-08-11,Paid,2026-08-11,DEP-01,PRJ-101
INV-60321,2026-02-17,PO-40340,GRN-50345,V-1046,Livguard Energy,Batteries,89533.08,16115.95,105649.03,2026-03-04,Paid,2026-03-03,DEP-03,PRJ-103
INV-60322,2025-12-24,PO-40341,GRN-50346,V-1037,RenewSys India,Solar Panels,20596482.17,3707366.79,24303848.96,2026-02-07,Paid,2026-02-11,DEP-06,PRJ-106
INV-60323,2025-11-14,PO-40342,GRN-50347,V-1009,Orient Electric,Electrical,14439.07,2599.03,17038.1,2025-11-29,Paid,2025-11-27,DEP-05,PRJ-105
INV-60324,2026-02-15,PO-40345,GRN-50349,V-1037,RenewSys India,Solar Panels,89053.21,16029.58,105082.79,2026-04-01,Pending,,DEP-06,PRJ-106
INV-60325,2026-05-14,PO-40346,GRN-50350,V-1037,RenewSys India,Solar Panels,1654.26,297.77,1952.03,2026-06-28,Overdue,,DEP-04,PRJ-104
INV-60326,2026-05-12,PO-40347,GRN-50351,V-1042,Luminous Power Technologies,Batteries,9009.52,1621.71,10631.23,2026-06-11,Paid,2026-06-11,DEP-04,PRJ-104
INV-60327,2026-06-08,PO-40349,GRN-50353,V-1044,Okaya Power,Batteries,521191.91,93814.54,615006.45,2026-06-23,Paid,2026-06-15,DEP-01,PRJ-101
INV-60328,2026-01-18,PO-40350,GRN-50354,V-1046,Livguard Energy,Batteries,808084.04,145455.13,953539.17,2026-02-02,Overdue,,DEP-04,PRJ-104
INV-60329,2026-06-05,PO-40351,GRN-50355,V-1026,Tata Steel,Road Construction Materials,2910.33,523.86,3434.19,2026-08-04,Paid,2026-08-11,DEP-01,PRJ-101
INV-60330,2026-06-17,PO-40351,GRN-50356,V-1026,Tata Steel,Road Construction Materials,3274.12,589.34,3863.46,2026-08-16,Overdue,,DEP-01,PRJ-101
INV-60331,2026-08-03,PO-40352,GRN-50357,V-1033,Vikram Solar,Solar Panels,59058.22,10630.48,69688.7,2026-09-02,Paid,2026-09-12,DEP-04,PRJ-104
INV-60332,2026-07-29,PO-40355,GRN-50359,V-1032,Adani Solar,Solar Panels,82726.62,14890.79,97617.41,2026-09-27,Paid,2026-10-02,DEP-05,PRJ-105
INV-60333,2026-05-05,PO-40356,GRN-50360,V-1009,Orient Electric,Electrical,5119.21,921.46,6040.67,2026-05-20,Paid,2026-05-15,DEP-04,PRJ-104
INV-60334,2026-06-05,PO-40357,GRN-50361,V-1048,Base Corporation,Batteries,447871.6,80616.89,528488.49,2026-07-05,Paid,2026-07-09,DEP-04,PRJ-104
INV-60335,2026-01-04,PO-40359,GRN-50363,V-1056,Jaquar Group,Plumbing Materials,8783.42,1581.02,10364.44,2026-01-19,Paid,2026-01-26,DEP-03,PRJ-103
INV-60336,2026-05-07,PO-40360,GRN-50364,V-1039,Loom Solar,Solar Panels,17203.56,3096.64,20300.2,2026-06-06,Paid,2026-06-13,DEP-02,PRJ-102
INV-60337,2026-02-17,PO-40362,GRN-50365,V-1008,KEI Industries,Electrical,4254.72,765.85,5020.57,2026-03-19,Paid,2026-03-24,DEP-05,PRJ-105
INV-60338,2025-10-06,PO-40363,GRN-50366,V-1055,CERA Sanitaryware,Plumbing Materials,1432.92,257.93,1690.85,2025-11-05,Paid,2025-10-31,DEP-05,PRJ-105
INV-60339,2025-10-19,PO-40364,GRN-50367,V-1053,Prince Pipes,Plumbing Materials,49855.71,8974.03,58829.74,2025-11-03,Paid,2025-11-03,DEP-04,PRJ-104
INV-60340,2026-02-21,PO-40366,GRN-50369,V-1003,Anchor by Panasonic,Electrical,816.64,147.0,963.64,2026-03-08,Paid,2026-03-02,DEP-01,PRJ-101
INV-60341,2026-05-04,PO-40367,GRN-50370,V-1044,Okaya Power,Batteries,148724.02,26770.32,175494.34,2026-05-19,Paid,2026-05-17,DEP-02,PRJ-102
INV-60342,2025-09-16,PO-40368,GRN-50371,V-1036,Emmvee Solar,Solar Panels,715792.34,128842.62,844634.96,2025-10-31,Paid,2025-11-12,DEP-01,PRJ-101
INV-60343,2026-04-13,PO-40369,GRN-50372,V-1045,HBL Power Systems,Batteries,33904.3,6102.77,40007.07,2026-05-28,Paid,2026-06-05,DEP-04,PRJ-104
INV-60344,2025-12-28,PO-40370,GRN-50373,V-1032,Adani Solar,Solar Panels,30772.68,5539.08,36311.76,2026-02-26,Paid,2026-03-01,DEP-03,PRJ-103
INV-60345,2026-06-17,PO-40371,GRN-50374,V-1040,Exide Industries,Batteries,345707.45,62227.34,407934.79,2026-08-01,Pending,,DEP-02,PRJ-102
INV-60346,2026-06-22,PO-40371,GRN-50375,V-1040,Exide Industries,Batteries,360738.21,64932.88,425671.09,2026-08-06,Paid,2026-08-08,DEP-02,PRJ-102
INV-60347,2026-01-31,PO-40373,GRN-50377,V-1019,Sarvottam Plywood,Carpentry,37023.73,6664.27,43688.0,2026-02-15,Paid,2026-02-15,DEP-03,PRJ-103
INV-60348,2025-10-11,PO-40374,GRN-50378,V-1000,Havells India,Electrical,2681.99,482.76,3164.75,2025-10-26,Paid,2025-11-04,DEP-06,PRJ-106
INV-60349,2026-05-04,PO-40375,GRN-50379,V-1051,Supreme Industries,Plumbing Materials,25937.61,4668.77,30606.38,2026-06-03,Paid,2026-05-27,DEP-06,PRJ-106
INV-60350,2026-05-11,PO-40375,GRN-50380,V-1051,Supreme Industries,Plumbing Materials,27065.33,4871.76,31937.09,2026-06-10,Paid,2026-06-12,DEP-06,PRJ-106
INV-60351,2025-11-21,PO-40376,GRN-50381,V-1038,Websol Energy System,Solar Panels,41682.62,7502.87,49185.49,2026-01-05,Pending,,DEP-03,PRJ-103
INV-60352,2026-05-07,PO-40377,GRN-50382,V-1026,Tata Steel,Road Construction Materials,1530493.44,275488.82,1805982.26,2026-07-06,Paid,2026-06-22,DEP-01,PRJ-101
INV-60353,2026-04-12,PO-40378,GRN-50383,V-1015,Action Tesa,Carpentry,17045.11,3068.12,20113.23,2026-05-12,Paid,2026-05-20,DEP-02,PRJ-102
INV-60354,2025-12-16,PO-40379,GRN-50385,V-1004,V-Guard Industries,Electrical,26315.53,4736.8,31052.33,2026-01-15,Overdue,,DEP-03,PRJ-103
INV-60355,2025-11-30,PO-40380,GRN-50386,V-1003,Anchor by Panasonic,Electrical,5280.12,950.42,6230.54,2025-12-15,Paid,2025-12-13,DEP-06,PRJ-106
INV-60356,2026-01-13,PO-40381,GRN-50387,V-1058,Kajaria Ceramics,Plumbing Materials,40847.61,7352.57,48200.18,2026-03-14,Paid,2026-03-22,DEP-05,PRJ-105
INV-60357,2026-05-18,PO-40382,GRN-50388,V-1015,Action Tesa,Carpentry,1265.8,227.84,1493.64,2026-06-17,Paid,2026-06-06,DEP-02,PRJ-102
INV-60358,2026-05-02,PO-40383,GRN-50389,V-1027,JSW Steel,Road Construction Materials,1756342.77,316141.7,2072484.47,2026-06-01,Paid,2026-06-04,DEP-03,PRJ-103
INV-60359,2025-11-16,PO-40384,GRN-50390,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,9235.54,1662.4,10897.94,2025-12-01,Paid,2025-11-25,DEP-03,PRJ-103
INV-60360,2026-04-12,PO-40385,GRN-50391,V-1012,Kitply Industries,Carpentry,14942.48,2689.65,17632.13,2026-04-27,Paid,2026-05-03,DEP-03,PRJ-103
INV-60361,2026-01-06,PO-40386,GRN-50392,V-1048,Base Corporation,Batteries,4755.4,855.97,5611.37,2026-02-05,Paid,2026-01-30,DEP-03,PRJ-103
INV-60362,2026-06-16,PO-40388,GRN-50394,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,5930.05,1067.41,6997.46,2026-07-01,Paid,2026-07-10,DEP-02,PRJ-102
INV-60363,2026-02-19,PO-40389,GRN-50395,V-1015,Action Tesa,Carpentry,821.39,147.85,969.24,2026-03-21,Paid,2026-03-22,DEP-04,PRJ-104
INV-60364,2025-12-08,PO-40390,GRN-50396,V-1027,JSW Steel,Road Construction Materials,1253957.18,225712.29,1479669.47,2026-01-07,Paid,2026-01-10,DEP-02,PRJ-102
INV-60365,2026-05-05,PO-40391,GRN-50397,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,19277.59,3469.97,22747.56,2026-05-20,Paid,2026-05-20,DEP-05,PRJ-105
INV-60366,2026-01-20,PO-40392,GRN-50398,V-1031,Waaree Energies,Solar Panels,354767.22,63858.1,418625.32,2026-02-19,Paid,2026-03-02,DEP-06,PRJ-106
INV-60367,2026-04-18,PO-40393,GRN-50399,V-1025,Dalmia Bharat Cement,Road Construction Materials,141350.66,25443.12,166793.78,2026-06-17,Paid,2026-06-16,DEP-06,PRJ-106
INV-60368,2025-12-09,PO-40394,GRN-50400,V-1040,Exide Industries,Batteries,1668684.03,300363.13,1969047.16,2026-01-23,Paid,2026-01-18,DEP-02,PRJ-102
INV-60369,2026-04-04,PO-40395,GRN-50401,V-1043,Su-Kam Power Systems,Batteries,2555724.96,460030.49,3015755.45,2026-04-19,Paid,2026-04-13,DEP-06,PRJ-106
INV-60370,2025-12-08,PO-40396,GRN-50402,V-1013,Archidply Industries,Carpentry,18336.0,3300.48,21636.48,2026-01-07,Paid,2026-01-05,DEP-01,PRJ-101
INV-60371,2025-12-18,PO-40396,GRN-50403,V-1013,Archidply Industries,Carpentry,18336.0,3300.48,21636.48,2026-01-17,Paid,2026-01-26,DEP-01,PRJ-101
INV-60372,2025-11-24,PO-40398,GRN-50404,V-1057,Hindware Homes,Plumbing Materials,168971.56,30414.88,199386.44,2026-01-08,Paid,2026-01-13,DEP-03,PRJ-103
INV-60373,2025-11-30,PO-40399,GRN-50405,V-1012,Kitply Industries,Carpentry,42151.78,7587.32,49739.1,2025-12-15,Overdue,,DEP-01,PRJ-101
INV-60374,2026-02-20,PO-40400,GRN-50407,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,953.08,171.55,1124.63,2026-03-07,Paid,2026-03-13,DEP-06,PRJ-106
INV-60375,2026-01-12,PO-40401,GRN-50408,V-1033,Vikram Solar,Solar Panels,78135.98,14064.48,92200.46,2026-02-11,Paid,2026-02-11,DEP-02,PRJ-102
INV-60376,2026-05-25,PO-40402,GRN-50409,V-1027,JSW Steel,Road Construction Materials,21162.42,3809.24,24971.66,2026-06-24,Paid,2026-07-09,DEP-03,PRJ-103
INV-60377,2026-05-06,PO-40403,GRN-50410,V-1027,JSW Steel,Road Construction Materials,87974.12,15835.34,103809.46,2026-06-05,Overdue,,DEP-03,PRJ-103
INV-60378,2026-02-11,PO-40404,GRN-50411,V-1000,Havells India,Electrical,19644.6,3536.03,23180.63,2026-02-26,Paid,2026-03-09,DEP-05,PRJ-105
INV-60379,2025-10-12,PO-40405,GRN-50412,V-1039,Loom Solar,Solar Panels,5978466.96,1076124.05,7054591.01,2025-11-11,Paid,2025-11-15,DEP-05,PRJ-105
INV-60380,2025-11-05,PO-40406,GRN-50413,V-1033,Vikram Solar,Solar Panels,72656.49,13078.17,85734.66,2025-12-05,Paid,2025-12-09,DEP-04,PRJ-104
INV-60381,2025-12-25,PO-40407,GRN-50414,V-1011,Greenply Industries,Carpentry,6840.08,1231.21,8071.29,2026-02-23,Paid,2026-02-15,DEP-06,PRJ-106
INV-60382,2025-12-20,PO-40408,GRN-50415,V-1009,Orient Electric,Electrical,133506.24,24031.12,157537.36,2026-01-04,Paid,2026-01-14,DEP-05,PRJ-105
INV-60383,2026-07-29,PO-40409,GRN-50416,V-1025,Dalmia Bharat Cement,Road Construction Materials,182157.5,32788.35,214945.85,2026-09-27,Paid,2026-09-28,DEP-04,PRJ-104
INV-60384,2026-06-03,PO-40410,GRN-50417,V-1025,Dalmia Bharat Cement,Road Construction Materials,676640.93,121795.37,798436.3,2026-08-02,Paid,2026-08-12,DEP-03,PRJ-103
INV-60385,2026-04-13,PO-40413,GRN-50419,V-1052,Finolex Pipes,Plumbing Materials,21884.29,3939.17,25823.46,2026-05-28,Paid,2026-06-07,DEP-02,PRJ-102
INV-60386,2026-04-01,PO-40415,GRN-50421,V-1026,Tata Steel,Road Construction Materials,105639.9,19015.18,124655.08,2026-05-31,Paid,2026-06-07,DEP-05,PRJ-105
INV-60387,2026-01-12,PO-40416,GRN-50422,V-1020,UltraTech Cement,Road Construction Materials,397801.26,71604.23,469405.49,2026-02-11,Paid,2026-02-08,DEP-04,PRJ-104
INV-60388,2026-05-29,PO-40418,GRN-50424,V-1023,Shree Cement,Road Construction Materials,417613.65,75170.46,492784.11,2026-07-13,Paid,2026-07-18,DEP-05,PRJ-105
INV-60389,2026-05-17,PO-40419,GRN-50425,V-1000,Havells India,Electrical,4216.72,759.01,4975.73,2026-06-01,Paid,2026-06-05,DEP-06,PRJ-106
INV-60390,2025-11-09,PO-40420,GRN-50426,V-1006,Legrand India,Electrical,11607.3,2089.31,13696.61,2025-12-24,Paid,2025-12-22,DEP-04,PRJ-104
INV-60391,2026-08-24,PO-40421,GRN-50427,V-1031,Waaree Energies,Solar Panels,31910.77,5743.94,37654.71,2026-09-23,Paid,2026-09-27,DEP-06,PRJ-106
INV-60392,2026-08-19,PO-40422,GRN-50428,V-1018,Ebco Private Ltd,Carpentry,41322.79,7438.1,48760.89,2026-10-03,Paid,2026-10-05,DEP-05,PRJ-105
INV-60393,2026-08-22,PO-40422,GRN-50429,V-1018,Ebco Private Ltd,Carpentry,41322.79,7438.1,48760.89,2026-10-06,Paid,2026-10-10,DEP-05,PRJ-105
INV-60394,2026-05-02,PO-40423,GRN-50430,V-1008,KEI Industries,Electrical,2932.09,527.78,3459.87,2026-06-01,Paid,2026-06-05,DEP-06,PRJ-106
INV-60395,2026-02-24,PO-40424,GRN-50431,V-1005,Crompton Greaves Consumer,Electrical,2121.65,381.9,2503.55,2026-03-26,Paid,2026-04-04,DEP-03,PRJ-103
INV-60396,2026-07-05,PO-40425,GRN-50432,V-1058,Kajaria Ceramics,Plumbing Materials,984.46,177.2,1161.66,2026-09-03,Paid,2026-09-08,DEP-02,PRJ-102
INV-60397,2026-02-02,PO-40426,GRN-50433,V-1008,KEI Industries,Electrical,625.96,112.67,738.63,2026-03-04,Paid,2026-03-04,DEP-02,PRJ-102
INV-60398,2026-06-22,PO-40427,GRN-50434,V-1002,Finolex Cables,Electrical,34907.59,6283.37,41190.96,2026-07-22,Paid,2026-07-16,DEP-03,PRJ-103
INV-60399,2026-05-29,PO-40429,GRN-50436,V-1032,Adani Solar,Solar Panels,317423.78,57136.28,374560.06,2026-07-28,Paid,2026-07-28,DEP-05,PRJ-105
INV-60400,2026-04-22,PO-40430,GRN-50437,V-1033,Vikram Solar,Solar Panels,4126445.1,742760.12,4869205.22,2026-05-22,Paid,2026-05-25,DEP-04,PRJ-104
INV-60401,2026-05-01,PO-40430,GRN-50438,V-1033,Vikram Solar,Solar Panels,4126445.1,742760.12,4869205.22,2026-05-31,Overdue,,DEP-04,PRJ-104
INV-60402,2025-11-17,PO-40433,GRN-50441,V-1019,Sarvottam Plywood,Carpentry,45141.34,8125.44,53266.78,2025-12-02,Paid,2025-12-02,DEP-06,PRJ-106
INV-60403,2026-01-08,PO-40434,GRN-50442,V-1004,V-Guard Industries,Electrical,4234.06,762.13,4996.19,2026-02-07,Overdue,,DEP-01,PRJ-101
INV-60404,2026-04-25,PO-40436,GRN-50444,V-1056,Jaquar Group,Plumbing Materials,6100.57,1098.1,7198.67,2026-05-10,Paid,2026-05-15,DEP-06,PRJ-106
INV-60405,2026-01-09,PO-40438,GRN-50446,V-1032,Adani Solar,Solar Panels,309446.34,55700.34,365146.68,2026-03-10,Overdue,,DEP-02,PRJ-102
INV-60406,2025-10-08,PO-40440,GRN-50448,V-1027,JSW Steel,Road Construction Materials,84673.43,15241.22,99914.65,2025-11-07,Paid,2025-11-08,DEP-06,PRJ-106
INV-60407,2026-03-01,PO-40441,GRN-50449,V-1045,HBL Power Systems,Batteries,62242.58,11203.66,73446.24,2026-04-15,Paid,2026-04-22,DEP-05,PRJ-105
INV-60408,2026-05-03,PO-40443,GRN-50451,V-1022,Ambuja Cements,Road Construction Materials,2255967.31,406074.12,2662041.43,2026-05-18,Paid,2026-05-10,DEP-03,PRJ-103
INV-60409,2026-06-09,PO-40444,GRN-50452,V-1026,Tata Steel,Road Construction Materials,4368.27,786.29,5154.56,2026-08-08,Paid,2026-08-09,DEP-04,PRJ-104
INV-60410,2026-02-19,PO-40445,GRN-50453,V-1048,Base Corporation,Batteries,33785.93,6081.47,39867.4,2026-03-21,Paid,2026-03-30,DEP-06,PRJ-106
INV-60411,2026-06-13,PO-40446,GRN-50454,V-1058,Kajaria Ceramics,Plumbing Materials,6692.24,1204.6,7896.84,2026-08-12,Paid,2026-08-12,DEP-02,PRJ-102
INV-60412,2026-04-07,PO-40447,GRN-50455,V-1007,Schneider Electric India,Electrical,259.38,46.69,306.07,2026-05-07,Paid,2026-05-19,DEP-05,PRJ-105
INV-60413,2025-11-01,PO-40448,GRN-50456,V-1027,JSW Steel,Road Construction Materials,1706963.2,307253.38,2014216.58,2025-12-01,Paid,2025-12-01,DEP-04,PRJ-104
INV-60414,2025-10-28,PO-40449,GRN-50457,V-1016,Merino Laminates,Carpentry,3795.24,683.14,4478.38,2025-11-12,Paid,2025-11-12,DEP-04,PRJ-104
INV-60415,2025-11-19,PO-40450,GRN-50458,V-1037,RenewSys India,Solar Panels,65405.05,11772.91,77177.96,2026-01-03,Paid,2025-12-25,DEP-06,PRJ-106
INV-60416,2025-11-17,PO-40450,GRN-50459,V-1037,RenewSys India,Solar Panels,65405.05,11772.91,77177.96,2026-01-01,Paid,2026-01-02,DEP-06,PRJ-106
INV-60417,2026-03-16,PO-40452,GRN-50460,V-1059,Roto Pumps,Plumbing Materials,189287.33,34071.72,223359.05,2026-04-15,Paid,2026-04-12,DEP-01,PRJ-101
INV-60418,2026-02-01,PO-40453,GRN-50461,V-1020,UltraTech Cement,Road Construction Materials,2675323.96,481558.31,3156882.27,2026-03-03,Paid,2026-03-10,DEP-03,PRJ-103
INV-60419,2026-03-10,PO-40454,GRN-50462,V-1016,Merino Laminates,Carpentry,29139.24,5245.06,34384.3,2026-03-25,Paid,2026-03-22,DEP-06,PRJ-106
INV-60420,2026-04-07,PO-40455,GRN-50463,V-1023,Shree Cement,Road Construction Materials,102634.37,18474.19,121108.56,2026-05-22,Overdue,,DEP-02,PRJ-102
INV-60421,2026-06-22,PO-40456,GRN-50464,V-1012,Kitply Industries,Carpentry,126947.71,22850.59,149798.3,2026-07-07,Paid,2026-07-10,DEP-02,PRJ-102
INV-60422,2025-12-02,PO-40457,GRN-50465,V-1002,Finolex Cables,Electrical,595.95,107.27,703.22,2026-01-01,Paid,2026-01-11,DEP-02,PRJ-102
INV-60423,2025-10-06,PO-40458,GRN-50466,V-1007,Schneider Electric India,Electrical,92218.22,16599.28,108817.5,2025-11-05,Paid,2025-11-01,DEP-01,PRJ-101
INV-60424,2025-10-13,PO-40458,GRN-50467,V-1007,Schneider Electric India,Electrical,99311.93,17876.15,117188.08,2025-11-12,Paid,2025-11-21,DEP-01,PRJ-101
INV-60425,2026-05-16,PO-40459,GRN-50468,V-1035,Premier Energies,Solar Panels,186951.52,33651.27,220602.79,2026-05-31,Paid,2026-06-05,DEP-05,PRJ-105
INV-60426,2025-09-29,PO-40460,GRN-50469,V-1001,Polycab India,Electrical,4623.69,832.26,5455.95,2025-10-29,Paid,2025-11-08,DEP-01,PRJ-101
INV-60427,2026-04-07,PO-40461,GRN-50470,V-1038,Websol Energy System,Solar Panels,532.86,95.91,628.77,2026-05-22,Paid,2026-06-02,DEP-04,PRJ-104
INV-60428,2026-07-26,PO-40463,GRN-50471,V-1051,Supreme Industries,Plumbing Materials,1165.77,209.84,1375.61,2026-08-25,Paid,2026-09-04,DEP-01,PRJ-101
INV-60429,2026-07-05,PO-40464,GRN-50472,V-1052,Finolex Pipes,Plumbing Materials,5291.73,952.51,6244.24,2026-08-19,Paid,2026-08-29,DEP-06,PRJ-106
INV-60430,2025-10-18,PO-40465,GRN-50473,V-1001,Polycab India,Electrical,365492.2,65788.6,431280.8,2025-11-17,Paid,2025-11-17,DEP-06,PRJ-106
INV-60431,2025-11-13,PO-40466,GRN-50474,V-1033,Vikram Solar,Solar Panels,15662.16,2819.19,18481.35,2025-12-13,Paid,2025-12-18,DEP-06,PRJ-106
INV-60432,2026-04-21,PO-40468,GRN-50475,V-1011,Greenply Industries,Carpentry,52561.93,9461.15,62023.08,2026-06-20,Paid,2026-06-20,DEP-01,PRJ-101
INV-60433,2026-04-16,PO-40469,GRN-50476,V-1009,Orient Electric,Electrical,1369.33,246.48,1615.81,2026-05-01,Paid,2026-05-11,DEP-03,PRJ-103
INV-60434,2026-04-01,PO-40470,GRN-50477,V-1009,Orient Electric,Electrical,49276.53,8869.78,58146.31,2026-04-16,Paid,2026-04-12,DEP-03,PRJ-103
INV-60435,2026-05-05,PO-40472,GRN-50479,V-1004,V-Guard Industries,Electrical,3345.05,602.11,3947.16,2026-06-04,Paid,2026-06-04,DEP-03,PRJ-103
INV-60436,2026-04-13,PO-40474,GRN-50481,V-1058,Kajaria Ceramics,Plumbing Materials,7442.31,1339.62,8781.93,2026-06-12,Overdue,,DEP-03,PRJ-103
INV-60437,2026-04-25,PO-40474,GRN-50482,V-1058,Kajaria Ceramics,Plumbing Materials,7442.31,1339.62,8781.93,2026-06-24,Paid,2026-06-21,DEP-03,PRJ-103
INV-60438,2026-07-15,PO-40475,GRN-50483,V-1020,UltraTech Cement,Road Construction Materials,16918.16,3045.27,19963.43,2026-08-14,Paid,2026-08-31,DEP-05,PRJ-105
INV-60439,2026-08-11,PO-40476,GRN-50484,V-1042,Luminous Power Technologies,Batteries,3047848.14,548612.67,3596460.81,2026-09-10,Paid,2026-09-06,DEP-06,PRJ-106
INV-60440,2025-11-23,PO-40477,GRN-50485,V-1033,Vikram Solar,Solar Panels,329984.21,59397.16,389381.37,2025-12-23,Paid,2025-12-23,DEP-01,PRJ-101
INV-60441,2026-04-17,PO-40478,GRN-50486,V-1051,Supreme Industries,Plumbing Materials,7698.88,1385.8,9084.68,2026-05-17,Pending,,DEP-03,PRJ-103
INV-60442,2026-05-15,PO-40479,GRN-50487,V-1051,Supreme Industries,Plumbing Materials,37635.83,6774.45,44410.28,2026-06-14,Paid,2026-06-22,DEP-01,PRJ-101
INV-60443,2026-02-08,PO-40480,GRN-50488,V-1017,Hettich India,Carpentry,29536.85,5316.63,34853.48,2026-03-25,Paid,2026-04-03,DEP-02,PRJ-102
INV-60444,2026-02-16,PO-40481,GRN-50489,V-1004,V-Guard Industries,Electrical,27410.43,4933.88,32344.31,2026-03-18,Paid,2026-03-16,DEP-04,PRJ-104
INV-60445,2026-07-11,PO-40482,GRN-50490,V-1050,Astral Pipes,Plumbing Materials,209447.87,37700.62,247148.49,2026-09-09,Paid,2026-08-31,DEP-01,PRJ-101
INV-60446,2025-10-05,PO-40483,GRN-50491,V-1008,KEI Industries,Electrical,4511.62,812.09,5323.71,2025-11-04,Paid,2025-11-04,DEP-01,PRJ-101
INV-60447,2026-03-01,PO-40484,GRN-50492,V-1024,JK Cement,Road Construction Materials,1572172.97,282991.13,1855164.1,2026-03-31,Paid,2026-04-01,DEP-06,PRJ-106
INV-60448,2026-02-09,PO-40485,GRN-50493,V-1050,Astral Pipes,Plumbing Materials,33233.7,5982.07,39215.77,2026-04-10,Paid,2026-04-11,DEP-05,PRJ-105
INV-60449,2026-07-31,PO-40486,GRN-50494,V-1041,Amara Raja Batteries (Amaron),Batteries,422683.01,76082.94,498765.95,2026-08-30,Paid,2026-09-05,DEP-05,PRJ-105
INV-60450,2026-02-05,PO-40487,GRN-50495,V-1032,Adani Solar,Solar Panels,97337.24,17520.7,114857.94,2026-04-06,Paid,2026-04-05,DEP-06,PRJ-106
INV-60451,2026-05-17,PO-40489,GRN-50496,V-1008,KEI Industries,Electrical,20239.36,3643.08,23882.44,2026-06-16,Paid,2026-06-24,DEP-02,PRJ-102
INV-60452,2025-12-30,PO-40490,GRN-50497,V-1059,Roto Pumps,Plumbing Materials,218186.25,39273.52,257459.77,2026-01-29,Paid,2026-02-05,DEP-04,PRJ-104
